text,sentiment_label
apalagi anak suami rumah tidur makan main game,0
suami tetapi teman dengarkan cerita,0
ya allah menangis kalau baca kayak,0
sesakit ya hamil,0
benar banget ada tidak kayak cpek banget menunggu gelombang cinta bangun tidur tidak sesuai harapan,0
suport suami anak tetapi masih ragu bingung anak usia adik mentalq belum rumah tidak ada bantu mengurus orang tua pokoknya overthinking,0
serasa ngejalanin tidak sih,0
keluarga suami tidak ada basa basi dok,0
masuk rumah sakit keluarga suami tidak ada ngejenguk mertuaku haha lucu ya walaupun kondisi hamil malah suruh bolak motor,0
menangis capek khawatir dede bayi perut,0
suami full support tapi kadang keluarga seringkali down stres flek mules,0
iya bu trimester lagi butuh support nya,0
stres karena omongan mertua tetangga kondisi tubuh mual muntah trimester hadi tidak kemana,0
benar tidak ada peduli usg x mulu temani tapi ya biarkan pasrah,0
benar pakai baanget,0
ngrasa bersalah anak,0
kalau lagi setres tensi darah langsung turun bu bid kemarin,0
kehamilan stres banget karena keluarga trauma tidak hamil lagi huuuu,0
tetanggaku idupin sound keras banget budek nih kuping,0
tidak kakak susahpun mamah bantu malas kalau kesana main,0
kak pun lagi hamil anak boro kabar,0
syukur tidak bodoh,0
bun walaupun mertua ada anak tetapi kesana malas,0
banget apalagi kehilangan anak hamil tidak ada basa basi boro kabar,0
wkwk apalagi mertua bikin stres,0
kok malah keluarga ya tidak peduli sad banget ya,0
lingkungan bikin stres,0
i feel kak kayak diposisi kakak lagi hamil hamil tidak ditanyain,0
he banget kak malah langsung pinjam duit tanpa nannya kabar kondisi kehamilanku,0
kakak keluarga belajar kadang suka menangis perut keram,0
jangan sedih ya kasihan adiknya kak,0
boro boro kak telfon ada langsung dimatiin,0
keluargaku pun bikin stres haha,0
iya suami kerja makan game berak komik muak kali lihat,0
suka pikiran cerai saking capainya padahal mengurus anak kewajiban suami bukan tolong marah,0
mb kadang ada pikiran kalau keluarga gue kembalikan saking penatnya kadang,0
kadang berbicara mati tidak suami sumpah kalau gue penghasilan gue gabutuh,0
hamil anak sedih stres karena tidak ada support suami mertua tidak support perhatian orang tua kadang bersalah bayi ada kandungan,0
stres karena cape fase muntah gbsa makannya suami support banget mijitin ngehibur ajak mengobrol tetapi menangis kalau habis muntah karena cape,0
gue stres karena lahiran pun masih mabuk,0
berkali kali menyerah,0
lagi hamil tetapi suami meninggal,0
kak anakku tidak sih kalau tumbuh kembang nya tidak ayah nya cape banget,0
benar banget karena suport sistem pelu banget lagi dukungn,0
sumpah cpek banget berpura menahan rsaa cpek supaya tidak lemah,0
tolong suamiku kalau libur disuruh momong anak mbaknya mertuaku hamil diperhatikan suami perhatian,0
padahal hamil lagi suami tetapi pas mengidam tidak ada responnn mengeluh sakit tidak respon,0
lagi fase hamil tetapi suami pergi pilihan,0
lagi fase gak ada lingkungnya mendukung,0
mbak malah disalahkan nya,0
haha kok kak kak bodoamat,0
kak akupun padahal lihat mual muntah tetapi tidak ada basa basi sekali nengokin tidak padahal rumah sampingan,0
bun suami pun ngjak bertengkar maunya dimengerti,0
karena masih syok banget bukan memikirkan lagi kalau kemana makan,0
boro boro support kabar keluarga keluarga suami berangkat umrah kali ya senengnya tapi bodoh tidak terlalu mempedulikan karena kena depresi kemarin berdamai,0
tinggal menunggu lahiran bilang berkali kali badan gampang sakit tangan kaku tetapi paksu malah tidak peduli semalam nya menyuruh mijitin jemput anak jatuh bilangnya besok ganti motor,0
pas hamil ada mertua ipar kejadian janin nya stres seharian menangis tidak makan tidak minum pas periksa lagi usg dokter bbj nya,0
cape cape rumah rapi bereskan bawa badan tapi setelahnya tepar tidak kuat bangun tapi giliran berantakan omelin anggap malas,0
benar banget kak buln lagi lhrn pasrah karena berjuang niatan kerj buln kalau buln lhrn perlngkpn bayi tidak ada duit sekali karena kerj,0
ku dengar salah hamil lagi ya risikonya kok mengeluh,0
suami tidak betah rumah tidak tau tidak memperhatikan istri ngutamain teman keluarga nya,0
suami ku gak peduli,0
cape banget dikehamilan apalagi tinggal lingkungan toxic,0
dok kalau bikin pikiran martua pulang rumah orang tua suami marah stres memikirkan padahal bayiku sehat tapi orang bikin stres,0
stres karena doang hamil menunggu suport orang haha keluarga tau suport jangan tunggu orang,0
hamil tapi bentak maki san,0
kenapa ya suami tega bentak istri hamil anaknya setidak berharga lagi kah istri didapatkan,0
seegois suami ku,0
kerj makan bayar kontrkn ya namanya gji buruh pabrik,0
kurang iugr alhasil rawat rumah sakit,0
suami orang tua tidak ada suport sekali tidak ada mengurus persalinannya betah tinggal keluarga suami bukan kandung suami,0
stres karena hb rendah usia kehamilan minggu,0
orang tua cerai menyusahkan posisi hamil stres banget,0
hamil anak tetapi keluarga belum ada tau suami karena takut nya komentar orang disana anak ku masih ekonomi ku lagi tetapi malah hamil lagi masih mkirin berbicara k mamah mertua,0
tidak ada mengerti,0
iya bawa rumah mertuaku karena manja padahal karena stres menangis kubawa suamiku anak mami anak ibuku,0
apalagi kalau pagi banget bangun subuh malam susah tidur teriak kalau dibangunkan paksa goyang goyang perut sakit sakit,0
peenah babyblous terulang lagi riwayat babyblous kalau hmil lagi kumat bu tolong,0
rasakan bu bid stres berat menangis tidak hamil lagi tetapi tuhan buenci banget kehamilan,0
suami pemicu stres,0
ngrasa bersalah banget kalau habis menangis usap maaf,0
bahagia tetapi cobaan hidup pikiran strees,0
maaf ya nak berusaha tidak stres pikiran emosional tapi orang tidak mendukung memikirkan kesulitan ngaturnya semoga sehat ya maafkan,0
ya stres sakit memikirkan ekonomi,0
tidak stres sulitt banget,0
maafkan mama nak mama mngajakmu menangis bersedih sehat kuat nak yamama sayang dedek,0
tidak stres kalau asam lambung makan tidak perut lapar mabuk parah bisanya menangis,0
ya tidak tapi kadang tidak tertahan suka menangis apalagi kalau menyakiti,0
maafkan mamah ya nak mamah didiagnosa gangguan kecemasaan sesak panik jantung berdebar semoga km lahir sehat ya nak,0
sharing mom bicara terima ketakutan takdir sayang diriku sehat,0
