text,sentiment_label
apalagi anak pertama baru tahun terus punya suami di rumah cuma tidur makan main game,0
punya suami tetapi cuma teman yang mau dengarkan cerita kita,0
hamil tidak berat klk lingkungannya sehat tidak toxic suaminya bisa openmind dan perhatian,1
ya allah ingin menangis kalau baca kayak beginian,0
ternyata sesakit itu ya jadi ibu hamil,0
benar banget ada yang sama tidak kayak cpek banget menunggu gelombang cinta setiap bangun tidur tidak sesuai harapan begitu,0
aku di suport suami dan anak tetapi aku yang masih ragu dan bingung anak usia tahun sudah minta adik terus mentalq rasanya belum siap dan di rumah sendiri tidak ada yang bantu mengurus ini itu jauh dari orang tua sudah pokoknya overthinking terus,0
serasa ngejalanin sendirian tidak sih,0
support diri sendiri ya ibu hamil hidup bagai sebatang kara saja tidak memedulikan yang lain cukup menjaga diri sendiri dengan baik saja kuat kan mental kita pasti bisa,1
keluarga suami tidak ada yang tanya keadaan aku atau basa basi dok,0
aku masuk rumah sakit keluarga suami tidak ada yang ngejenguk bahkan mertuaku sendiri haha lucu ya sedangkan apa walaupun kondisi aku hamil malah selalu di suruh buat bolak balik naik motor,0
menangis terus capek khawatir sama dede bayi di dalam perut,0
suami sudah full support tapi kadang dari keluarga sendiri yang seringkali buat down sampai setiap stres selalu keluar flek mules berlebihan,0
iya bu tm lagi butuh support nya,0
aku stres karena omongan mertua tetangga terus kondisi tubuh yang selalu mual muntah sampai tm hadi tidak bisa kemana,0
benar tidak ada yang peduli usg x sendiri mulu meminta di temani tapi ya sudahlah biarkan saja pasrah,0
aku tidak sendirian kan,0
benar pakai baanget,0
haha iya lagi sus ya allah sabar ya sus,1
ngrasa bersalah terus tiap hari ke anak pertama,0
aku kalau lagi banyak setres tensi darah langsung turun bu bid kemarin,0
kehamilan pertama stres banget karena keluarga sendiri sampai trauma tidak mau hamil lagi huuuu,0
tetanggaku tiap hari idupin sound keras banget sampai mau budek nih kuping,0
hamil tidak berat klk lingkungannya sehat tidak toxic suaminya bisa openmind dan perhatian -,1
tidak apa apa kakak aku juga begitu aku susahpun mamah aku yang bantu makanya aku agak malas kalau kesana buat main,0
sama kak aku pun lagi hamil anak ke boro di tanyakan kabar,0
ditanya syukur tidak ditanya bodoh amat,0
sama bun walaupun di mertua ada anak tetapi mau kesana malas,0
sama kak dan suami ku juga tidak begitu waktu aku hamil penting aku sehatasih bisa kesana kesni sendiri suamiku lebih mentingin keluarganya,1
sama banget apalagi dulu pernah kehilangan anak pertama terus hamil kedua tidak ada basa basi apa boro tanya kabar,0
betul dan tidak usah dipikirkan juga kak yang penting orang tua kita sendiri masih peduli sama kita,1
sama wkwk apalagi mertua saya bikin saya stres,0
kok aku malah keluarga aku sendiri ya yang tidak peduli sad banget ya,0
lingkungan saya bikin saya stres,0
i feel kamu kak aku juga sama kayak diposisi kakak saat ini lagi hamil bulan dari awal hamil tidak pernah ditanyain apa,0
is oke kak penting ada ibu yang full perhatian bahkan menuruti kemauan ku,1
he sama banget kak malah ke aku langsung pinjam duit tanpa nannya kabar dan kondisi kehamilanku,0
kakak kita sama mana aku jauh dari keluarga apa aku harus belajar sendirian kadang suka menangis sendiri sampai perut aku keram,0
jangan sedih terus ya kasihan adiknya kak,0
boro boro tanya kak telfon ada aku saja langsung dimatiin,0
sama keluargaku sendiri pun juga bikin aku stres haha,0
apalagi anak pertama baru setahun terus punya suami di rumah cuma tidur makan main game - iya suami juga begini kerja makan game berak komik muak kali aku lihat,0
apalagi anak pertama baru setahun terus punya suami di rumah cuma tidur makan main game - tiap hari suka punya pikiran mau cerai saking capainya padahal mengurus anak sudah kewajiban suami juga bukan harus dimintai tolong sampai marah dulu,0
apalagi anak pertama baru setahun terus punya suami di rumah cuma tidur makan main game - sama mb kadang ada pikiran kalau kamu diminta keluarga kamu gue kembalikan saking penatnya kadang,0
apalagi anak pertama baru setahun terus punya suami di rumah cuma tidur makan main game - kadang sampai berbicara mati saja kamu punya atau tidak punya suami sama saja sepertinya apa sendiri sumpah kalau gue punya penghasilan sendiri juga gue makin gabutuh kamu,0
aku hamil anak pertama selalu sedih stres karena tidak ada support dari suami mertua bahkan tidak dapat support dan perhatian orang tua juga kadang merasa bersalah sama bayi yang ada dalam kandungan,0
aku stres karena cape sama fase muntah gbsa makannya suami support banget mijitin ngehibur selalu ajak mengobrol tetapi aku sedikit menangis kalau habis muntah karena cape,0
terkdg di fase ini malah pikir suami itu tidak penting yang penting ortuku sendiri yang masih peduli dan anakku sendiri,1
bu peluk jauh,1
gue yang stres karena sampai mau lahiran pun masih mabuk,0
benar banget bun,1
lingkungan sehat orang tua sehat yang tidak sehat malah bidan puskesmas cry,1
