text,sentiment_label
hamil tidak berat kalau lingkungannya sehat tidak toxic suaminya openmind perhatian,1
support ya hamil hidup sebatang kara tidak memedulikan menjaga kuat mental,1
haha iya lagi sus ya allah sabar ya sus,1
kak suami ku tidak hamil sehatasih kesana kesni suamiku mentingin keluarganya,1
tidak dipikirkan kak orang tua masih peduli,1
is oke kak ada full perhatian menuruti kemauan ku,1
terkdg fase malah pikir suami tidak ortuku masih peduli anakku,1
bu peluk,1
benar banget bun,1
lingkungan sehat orang tua sehat tidak sehat malah bidan puskesmas nangis,1
pas hamil anak iya tapi alhamdulillah hamil support anak,1
benar banget sih,1
tidak ada support sekali keluargaku masih menutupi keluarga suami alhasil simpan takut periksa kandungan alhamdulillah trimester dikuatkan keluarga suami tau mencoba pemeriksaan kehamilan walaupun terbilang telat,1
benar banget kak,1
semangat ya jangan stres jaga pola makan,1
hamil mengandung sehat ya semoga iringi kebahagiaan keberkahan semoga janin sehat bahagia amin,1
maaafin ya dek semoga tidak kenapa,1
semangat moms jaga mental perjalanan masih semoga urusan dipermudah lancar,1
semoga urusan mudah lancar ya mom kesedihan diganti kebahagiaan terbaik,1
dukungan lingkungan sangat rasakan bukan hanya teori tapi real,1
ku priksa kasih obat penguat kadung hamil setres cape tertekan semoga kuat ya dedek lahir mamah sayang,1
kalau lagi hamil diuji ekonominya ya tetapi kuat rejeki anak ada,1
benar kakak berjuang tujuan,1
amin semoga janin ku sehat normal tanpa kurang apapun fisiknya semoga lahiran normal sehat lancar amin,1
amin ya rabi alamin semangat bunda,1
amin terima kasih do anya bun,1
amin doakan teman persalinanku lancar hari perkiraan lahirnya juni,1
terima kasih kak doanya,1
mbak mbak lagi hamil lagi memikirkan ekonomi suami lagi tidak kerja semangat mbak,1
tidak mbak semangat ya kerja padahal trimester drama banget hamilku tetapi semangat kerja biar makan hdupjadi semangat,1
tidak semangat jangan sedih kasihan kasihan dedek bayinya kak bersyukur kak ada jlan keluarnya suami support,1
samaan kak kadang stres memikirkan ekonomi belum lagi ldr suami serba semangat hamil,1
kak tetapi semoga ada rezeki adik bayi sehat adik bayinya amin,1
tenang kakak allah kasih kekuatan insyaallah,1
mbak kalau ekonomi dipikirkan pusing tapi pikir lagi lagi hamil tidak pikiran sebisa mungkin berdoa berusaha kak,1
amin semangat yuk bun,1
alhamdulillah huhu terima kasih,1
benar bun menguatkan tidak gampang,1
suamiku banget kak nya suasana hatinya tidak karuan semoga kuat ya kak indah,1
masya allah km masih beruntung banget masih ada suami km suami cuek banget suka marah kalau uring an amin semoga,1
peluk kak tidak terbayang kalau suamiku sabar ya kak kakak kuat pokok tidak bayangkan kalau suamiku surat pemberitahuan tahunan,1
terima kasih ya support nya mungkin ujian orang hamil beda beda ya pokoknya semangat berjuang lahiran,1
semoga allah jauhkn ganguan marahabaya penyakit anak diriku gangguan kecemasan sih bun,1
kok anxiety tapi kalau anak sehat,1
alhamdulillah lahiran bun,1
benar banget mbak lagi suami benar perhatian suami hamil,1
sabar ya kak mudah han nya husnul khotimah amin kakak masih ada suami dampingin suami meninggalkan,1
alhamdulillah kakak umur,1
amin semoga kesedihan diganti kebahagiaan ya kakak,1
kalau ketwa twa pas hamil tidak sih niat biar adik janin happy,1
semoga garis lagi terbaik ya mom cari internet dokter jiwa psikiater paham sharing ya,1
